Year,Genre,Owners
2004,Design & Illustration,0.0
2005,Design & Illustration,0.0
2006,Design & Illustration,0.0
2007,Design & Illustration,0.0
2008,Design & Illustration,0.0
2009,Design & Illustration,0.0
2010,Design & Illustration,0.0
2011,Design & Illustration,0.0
2012,Design & Illustration,150000.0
2013,Design & Illustration,510000.0
2014,Design & Illustration,775000.0
2015,Design & Illustration,11735000.0
2016,Design & Illustration,2690000.0
2017,Design & Illustration,1445000.0
2018,Design & Illustration,36340000.0
2019,Design & Illustration,1470000.0
2020,Design & Illustration,6555000.0
2021,Design & Illustration,620000.0
2022,Design & Illustration,540000.0
2023,Design & Illustration,860000.0
2024,Design & Illustration,575000.0
2025,Design & Illustration,445000.0
1997,Documentary,0.0
1998,Documentary,0.0
1999,Documentary,0.0
2000,Documentary,0.0
2001,Documentary,0.0
2002,Documentary,0.0
2003,Documentary,0.0
2004,Documentary,0.0
2005,Documentary,0.0
2006,Documentary,0.0
2007,Documentary,0.0
2008,Documentary,0.0
2009,Documentary,0.0
2010,Documentary,0.0
2011,Documentary,0.0
2012,Documentary,0.0
2013,Documentary,0.0
2014,Documentary,0.0
2015,Documentary,0.0
2016,Documentary,0.0
2017,Documentary,0.0
2018,Documentary,0.0
2019,Documentary,0.0
2020,Documentary,10000.0
2021,Documentary,0.0
2022,Documentary,0.0
2023,Documentary,0.0
2024,Documentary,0.0
2025,Documentary,0.0
1997,Early Access,0.0
1998,Early Access,0.0
1999,Early Access,0.0
2000,Early Access,0.0
2001,Early Access,0.0
2002,Early Access,0.0
2003,Early Access,0.0
2004,Early Access,0.0
2005,Early Access,0.0
2006,Early Access,0.0
2007,Early Access,0.0
2008,Early Access,0.0
2009,Early Access,0.0
2010,Early Access,0.0
2011,Early Access,0.0
2012,Early Access,0.0
2013,Early Access,15820000.0
2014,Early Access,9070000.0
2015,Early Access,21275000.0
2016,Early Access,19810000.0
2017,Early Access,53620000.0
2018,Early Access,30220000.0
2019,Early Access,35755000.0
2020,Early Access,52455000.0
2021,Early Access,51120000.0
2022,Early Access,39980000.0
2023,Early Access,63630000.0
2024,Early Access,179280000.0
2025,Early Access,61705000.0
1997,Education,0.0
1998,Education,0.0
1999,Education,0.0
2000,Education,0.0
2001,Education,0.0
2002,Education,0.0
2003,Education,0.0
2004,Education,0.0
2005,Education,0.0
2006,Education,0.0
2007,Education,0.0
2008,Education,0.0
2009,Education,0.0
2010,Education,0.0
2011,Education,0.0
2012,Education,150000.0
2013,Education,885000.0
2014,Education,425000.0
2015,Education,1475000.0
2016,Education,650000.0
2017,Education,880000.0
2018,Education,705000.0
2019,Education,825000.0
2020,Education,5200000.0
2021,Education,1175000.0
2022,Education,280000.0
2023,Education,335000.0
2024,Education,240000.0
2025,Education,390000.0
1997,Episodic,0.0
1998,Episodic,0.0
1999,Episodic,0.0
2000,Episodic,0.0
2001,Episodic,0.0
2002,Episodic,0.0
2003,Episodic,0.0
2004,Episodic,0.0
2005,Episodic,0.0
2006,Episodic,0.0
2007,Episodic,0.0
2008,Episodic,0.0
2009,Episodic,0.0
2010,Episodic,0.0
2011,Episodic,0.0
2012,Episodic,0.0
2013,Episodic,0.0
2014,Episodic,0.0
2015,Episodic,0.0
2016,Episodic,0.0
2017,Episodic,0.0
2018,Episodic,0.0
2019,Episodic,0.0
2020,Episodic,10000.0
2021,Episodic,0.0
2022,Episodic,0.0
2023,Episodic,0.0
2024,Episodic,0.0
2025,Episodic,0.0
1997,Free To Play,0.0
1998,Free To Play,0.0
1999,Free To Play,0.0
2000,Free To Play,0.0
2001,Free To Play,0.0
2002,Free To Play,0.0
2003,Free To Play,0.0
2004,Free To Play,0.0
2005,Free To Play,0.0
2006,Free To Play,0.0
2007,Free To Play,75350000.0
2008,Free To Play,1500000.0
2009,Free To Play,1250000.0
2010,Free To Play,8575000.0
2011,Free To Play,19870000.0
2012,Free To Play,183810000.0
2013,Free To Play,298035000.0
2014,Free To Play,98150000.0
2015,Free To Play,159275000.0
2016,Free To Play,94350000.0
2017,Free To Play,462975000.0
2018,Free To Play,117385000.0
2019,Free To Play,137035000.0
2020,Free To Play,269795000.0
2021,Free To Play,122810000.0
2022,Free To Play,118145000.0
2023,Free To Play,37445000.0
2024,Free To Play,34845000.0
2025,Free To Play,47150000.0
1997,Game Development,0.0
1998,Game Development,0.0
1999,Game Development,0.0
2000,Game Development,0.0
2001,Game Development,0.0
2002,Game Development,0.0
2003,Game Development,0.0
2004,Game Development,0.0
2005,Game Development,0.0
2006,Game Development,0.0
2007,Game Development,0.0
2008,Game Development,0.0
2009,Game Development,0.0
2010,Game Development,0.0
2011,Game Development,0.0
2012,Game Development,150000.0
2013,Game Development,535000.0
2014,Game Development,10000.0
2015,Game Development,1720000.0
2016,Game Development,3160000.0
2017,Game Development,170000.0
2018,Game Development,505000.0
2019,Game Development,945000.0
2020,Game Development,4470000.0
2021,Game Development,2005000.0
2022,Game Development,295000.0
2023,Game Development,390000.0
2024,Game Development,700000.0
2025,Game Development,350000.0
1997,Gore,0.0
1998,Gore,0.0
1999,Gore,0.0
2000,Gore,0.0
2001,Gore,0.0
2002,Gore,0.0
2003,Gore,0.0
2004,Gore,0.0
2005,Gore,0.0
2006,Gore,0.0
2007,Gore,0.0
2008,Gore,0.0
2009,Gore,0.0
2010,Gore,0.0
2011,Gore,0.0
2012,Gore,0.0
2013,Gore,350000.0
2014,Gore,0.0
2015,Gore,350000.0
2016,Gore,1285000.0
2017,Gore,3155000.0
2018,Gore,2035000.0
2019,Gore,10000.0
2020,Gore,0.0
2021,Gore,0.0
2022,Gore,0.0
2023,Gore,0.0
2024,Gore,0.0
2025,Gore,0.0
1997,Indie,3650000.0
1998,Indie,0.0
1999,Indie,0.0
2000,Indie,0.0
2001,Indie,150000.0
2002,Indie,0.0
2003,Indie,225000.0
2004,Indie,0.0
2005,Indie,120000.0
2006,Indie,38255000.0
2007,Indie,1035000.0
2008,Indie,6950000.0
2009,Indie,18790000.0
2010,Indie,18050000.0
2011,Indie,82715000.0
2012,Indie,108195000.0
2013,Indie,163420000.0
2014,Indie,242030000.0
2015,Indie,322805000.0
2016,Indie,424100000.0
2017,Indie,468930000.0
2018,Indie,415670000.0
2019,Indie,293600000.0
2020,Indie,397205000.0
2021,Indie,363485000.0
2022,Indie,303325000.0
2023,Indie,322690000.0
2024,Indie,456105000.0
2025,Indie,229110000.0
1997,Massively Multiplayer,0.0
1998,Massively Multiplayer,0.0
1999,Massively Multiplayer,0.0
2000,Massively Multiplayer,0.0
2001,Massively Multiplayer,0.0
2002,Massively Multiplayer,0.0
2003,Massively Multiplayer,0.0
2004,Massively Multiplayer,0.0
2005,Massively Multiplayer,0.0
2006,Massively Multiplayer,0.0
2007,Massively Multiplayer,0.0
2008,Massively Multiplayer,0.0
2009,Massively Multiplayer,40000.0
2010,Massively Multiplayer,3510000.0
2011,Massively Multiplayer,22450000.0
2012,Massively Multiplayer,26960000.0
2013,Massively Multiplayer,87945000.0
2014,Massively Multiplayer,56440000.0
2015,Massively Multiplayer,56135000.0
2016,Massively Multiplayer,74235000.0
2017,Massively Multiplayer,332480000.0
2018,Massively Multiplayer,128045000.0
2019,Massively Multiplayer,27120000.0
2020,Massively Multiplayer,77830000.0
2021,Massively Multiplayer,135465000.0
2022,Massively Multiplayer,100720000.0
2023,Massively Multiplayer,21900000.0
2024,Massively Multiplayer,63370000.0
2025,Massively Multiplayer,16030000.0
1997,Movie,0.0
1998,Movie,0.0
1999,Movie,0.0
2000,Movie,0.0
2001,Movie,0.0
2002,Movie,0.0
2003,Movie,0.0
2004,Movie,0.0
2005,Movie,0.0
2006,Movie,0.0
2007,Movie,0.0
2008,Movie,0.0
2009,Movie,0.0
2010,Movie,0.0
2011,Movie,0.0
2012,Movie,0.0
2013,Movie,0.0
2014,Movie,0.0
2015,Movie,0.0
2016,Movie,0.0
2017,Movie,750000.0
2018,Movie,0.0
2019,Movie,0.0
2020,Movie,10000.0
2021,Movie,0.0
2022,Movie,0.0
2023,Movie,0.0
2024,Movie,0.0
2025,Movie,0.0
1997,Nudity,0.0
1998,Nudity,0.0
1999,Nudity,0.0
2000,Nudity,0.0
2001,Nudity,0.0
2002,Nudity,0.0
2003,Nudity,0.0
2004,Nudity,0.0
2005,Nudity,0.0
2006,Nudity,0.0
2007,Nudity,0.0
2008,Nudity,0.0
2009,Nudity,750000.0
2010,Nudity,0.0
2011,Nudity,0.0
2012,Nudity,0.0
2013,Nudity,0.0
2014,Nudity,10000.0
2015,Nudity,0.0
2016,Nudity,455000.0
2017,Nudity,1460000.0
2018,Nudity,585000.0
2019,Nudity,0.0
2020,Nudity,0.0
2021,Nudity,0.0
2022,Nudity,0.0
2023,Nudity,0.0
2024,Nudity,0.0
2025,Nudity,0.0
1997,Photo Editing,0.0
1998,Photo Editing,0.0
1999,Photo Editing,0.0
2000,Photo Editing,0.0
2001,Photo Editing,0.0
2002,Photo Editing,0.0
2003,Photo Editing,0.0
2004,Photo Editing,0.0
2005,Photo Editing,0.0
2006,Photo Editing,0.0
2007,Photo Editing,0.0
2008,Photo Editing,0.0
2009,Photo Editing,0.0
2010,Photo Editing,0.0
2011,Photo Editing,0.0
2012,Photo Editing,10000.0
2013,Photo Editing,0.0
2014,Photo Editing,395000.0
2015,Photo Editing,2050000.0
2016,Photo Editing,240000.0
2017,Photo Editing,475000.0
2018,Photo Editing,35280000.0
2019,Photo Editing,465000.0
2020,Photo Editing,3685000.0
2021,Photo Editing,320000.0
2022,Photo Editing,130000.0
2023,Photo Editing,210000.0
2024,Photo Editing,220000.0
2025,Photo Editing,110000.0
1997,RPG,0.0
1998,RPG,0.0
1999,RPG,0.0
2000,RPG,0.0
2001,RPG,900000.0
2002,RPG,0.0
2003,RPG,75000.0
2004,RPG,0.0
2005,RPG,1925000.0
2006,RPG,4925000.0
2007,RPG,7260000.0
2008,RPG,13945000.0
2009,RPG,28500000.0
2010,RPG,26730000.0
2011,RPG,76750000.0
2012,RPG,71815000.0
2013,RPG,174970000.0
2014,RPG,93420000.0
2015,RPG,208270000.0
2016,RPG,194600000.0
2017,RPG,157790000.0
2018,RPG,166890000.0
2019,RPG,92390000.0
2020,RPG,190240000.0
2021,RPG,248925000.0
